No.,Time,Source,Destination,Protocol,Length,Info,Destination port,Identification,IP Flags,IP Header checksum,TCP Flags,TCP Checksum,Value
1,0,192.168.188.128,192.168.188.2,DNS,84,Standard query 0xf513 A detectportal.firefox.com,53,0x3f3f (16191),0x02,0x0194,0,0,0
2,0.000065691,192.168.188.128,192.168.188.2,DNS,84,Standard query 0x9bc3 AAAA detectportal.firefox.com,53,0x3f40 (16192),0x02,0x0193,0,0,0
3,0.027568864,192.168.188.2,192.168.188.128,DNS,242,Standard query response 0xf513 A detectportal.firefox.com CNAME detectportal.prod.mozaws.net CNAME detectportal.firefox.com-v2.edgesuite.net CNAME a1089.dscd.akamai.net A 207.237.20.41 A 207.237.20.42,58046,0x4937 (18743),0x00,0xf6fd,0,0,0
4,0.029239268,192.168.188.2,192.168.188.128,DNS,266,Standard query response 0x9bc3 AAAA detectportal.firefox.com CNAME detectportal.prod.mozaws.net CNAME detectportal.firefox.com-v2.edgesuite.net CNAME a1089.dscd.akamai.net AAAA 2610:80:2:3::cfed:1445 AAAA 2610:80:2:3::cfed:1466,58046,0x4938 (18744),0x00,0xf6e4,0,0,0
5,0.034419295,192.168.188.128,207.237.20.41,TCP,74,36668  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3408939179 TSecr=0 WS=128,80,0xec78 (60536),0x02,0xed03,0x002,0x2be7,0
6,0.072589146,207.237.20.41,192.168.188.128,TCP,60,"80  >  36668 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460",36668,0x4939 (18745),0x00,0x9053,0x012,0xcca0,0
7,0.072623859,192.168.188.128,207.237.20.41,TCP,54,36668  >  80 [ACK] Seq=1 Ack=1 Win=29200 Len=0,80,0xec79 (60537),0x02,0xed16,0x010,0x6d3e,0
8,0.073082704,192.168.188.128,207.237.20.41,HTTP,342,GET /success.txt HTTP/1.1,80,0xec7a (60538),0x02,0xebf5,0x018,0xb9cd,0
9,0.073356486,207.237.20.41,192.168.188.128,TCP,60,80  >  36668 [ACK] Seq=1 Ack=289 Win=64240 Len=0,36668,0x493a (18746),0x00,0x9056,0x010,0xe33d,0
10,0.112111124,207.237.20.41,192.168.188.128,HTTP,438,HTTP/1.1 200 OK  (text/plain),36668,0x493b (18747),0x00,0x8ed5,0x018,0xa587,0
11,0.112130867,192.168.188.128,207.237.20.41,TCP,54,36668  >  80 [ACK] Seq=289 Ack=385 Win=30016 Len=0,80,0xec7b (60539),0x02,0xed14,0x010,0x676e,0
12,0.829179721,192.168.188.128,207.237.20.41,HTTP,342,GET /success.txt HTTP/1.1,80,0xec7c (60540),0x02,0xebf3,0x018,0xb3fd,0
13,0.829448958,192.168.188.128,192.168.188.2,DNS,84,Standard query 0x865b A detectportal.firefox.com,53,0x3ff2 (16370),0x02,0x00e1,0,0,0
14,0.829510942,192.168.188.128,192.168.188.2,DNS,84,Standard query 0x5508 AAAA detectportal.firefox.com,53,0x3ff3 (16371),0x02,0x00e0,0,0,0
15,0.829837694,207.237.20.41,192.168.188.128,TCP,60,80  >  36668 [ACK] Seq=385 Ack=577 Win=64240 Len=0,36668,0x493c (18748),0x00,0x9054,0x010,0xe09d,0
16,0.861412807,192.168.188.2,192.168.188.128,DNS,266,Standard query response 0x5508 AAAA detectportal.firefox.com CNAME detectportal.prod.mozaws.net CNAME detectportal.firefox.com-v2.edgesuite.net CNAME a1089.dscd.akamai.net AAAA 2610:80:2:3::cfed:1466 AAAA 2610:80:2:3::cfed:1445,43684,0x493d (18749),0x00,0xf6df,0,0,0
17,0.861443978,192.168.188.2,192.168.188.128,DNS,242,Standard query response 0x865b A detectportal.firefox.com CNAME detectportal.prod.mozaws.net CNAME detectportal.firefox.com-v2.edgesuite.net CNAME a1089.dscd.akamai.net A 207.237.20.42 A 207.237.20.41,43684,0x493e (18750),0x00,0xf6f6,0,0,0
18,0.861446434,207.237.20.41,192.168.188.128,HTTP,438,HTTP/1.1 200 OK  (text/plain),36668,0x493f (18751),0x00,0x8ed1,0x018,0xa2e7,0
19,0.861458334,192.168.188.128,207.237.20.41,TCP,54,36668  >  80 [ACK] Seq=577 Ack=769 Win=31088 Len=0,80,0xec7d (60541),0x02,0xed12,0x010,0x609e,0
20,2.462047363,192.168.188.128,192.168.188.2,DNS,72,Standard query 0xa731 A www.kali.org,53,0x4100 (16640),0x02,0xffde,0,0,0
21,2.462105659,192.168.188.128,192.168.188.2,DNS,72,Standard query 0x8166 AAAA www.kali.org,53,0x4101 (16641),0x02,0xffdd,0,0,0
22,2.462226129,192.168.188.128,192.168.188.2,DNS,74,Standard query 0x87f6 A tools.kali.org,53,0x4102 (16642),0x02,0xffda,0,0,0
23,2.462262089,192.168.188.128,192.168.188.2,DNS,74,Standard query 0x0378 AAAA tools.kali.org,53,0x4103 (16643),0x02,0xffd9,0,0,0
24,2.463082661,192.168.188.128,192.168.188.2,DNS,86,Standard query 0x9664 A www.offensive-security.com,53,0x4104 (16644),0x02,0xffcc,0,0,0
25,2.463128778,192.168.188.128,192.168.188.2,DNS,86,Standard query 0xe357 AAAA www.offensive-security.com,53,0x4105 (16645),0x02,0xffcb,0,0,0
26,2.495186344,192.168.188.2,192.168.188.128,DNS,132,Standard query response 0x8166 AAAA www.kali.org SOA ns2.no-ip.com,33695,0x4940 (18752),0x00,0xf762,0,0,0
27,2.502225573,192.168.188.2,192.168.188.128,DNS,90,Standard query response 0x87f6 A tools.kali.org A 192.124.249.6,43028,0x4941 (18753),0x00,0xf78b,0,0,0
28,2.503050561,192.168.188.2,192.168.188.128,DNS,88,Standard query response 0xa731 A www.kali.org A 192.124.249.10,33695,0x4942 (18754),0x00,0xf78c,0,0,0
29,2.504819877,192.168.188.128,192.168.188.2,DNS,77,Standard query 0x5df4 A www.nethunter.com,53,0x410a (16650),0x02,0xffcf,0,0,0
30,2.505104678,192.168.188.128,192.168.188.2,DNS,77,Standard query 0x098a AAAA www.nethunter.com,53,0x410b (16651),0x02,0xffce,0,0,0
31,2.517087641,192.168.188.2,192.168.188.128,DNS,134,Standard query response 0x0378 AAAA tools.kali.org SOA ns2.no-ip.com,43028,0x4943 (18755),0x00,0xf75d,0,0,0
32,2.517512649,192.168.188.128,192.168.188.2,DNS,78,Standard query 0x3d56 A www.exploit-db.com,53,0x410e (16654),0x02,0xffca,0,0,0
33,2.517556683,192.168.188.128,192.168.188.2,DNS,78,Standard query 0xd13e AAAA www.exploit-db.com,53,0x410f (16655),0x02,0xffc9,0,0,0
34,2.525905667,192.168.188.2,192.168.188.128,DNS,143,Standard query response 0xe357 AAAA www.offensive-security.com SOA ns2.no-ip.com,43059,0x4944 (18756),0x00,0xf753,0,0,0
35,2.530248753,192.168.188.2,192.168.188.128,DNS,102,Standard query response 0x9664 A www.offensive-security.com A 192.124.249.5,43059,0x4945 (18757),0x00,0xf77b,0,0,0
36,2.53051655,192.168.188.128,192.168.188.2,DNS,76,Standard query 0xd168 A www.facebook.com,53,0x4112 (16658),0x02,0xffc8,0,0,0
37,2.530546858,192.168.188.128,192.168.188.2,DNS,76,Standard query 0x9984 AAAA www.facebook.com,53,0x4113 (16659),0x02,0xffc7,0,0,0
38,2.538904071,192.168.188.2,192.168.188.128,DNS,134,Standard query response 0x098a AAAA www.nethunter.com SOA ns2.no-ip.com,39783,0x4946 (18758),0x00,0xf75a,0,0,0
39,2.543852777,192.168.188.2,192.168.188.128,DNS,93,Standard query response 0x5df4 A www.nethunter.com A 34.198.182.201,39783,0x4947 (18759),0x00,0xf782,0,0,0
40,2.545429044,192.168.188.128,192.168.188.2,DNS,71,Standard query 0x37b0 A twitter.com,53,0x4115 (16661),0x02,0xffca,0,0,0
41,2.545441351,192.168.188.128,192.168.188.2,DNS,71,Standard query 0x19dd AAAA twitter.com,53,0x4116 (16662),0x02,0xffc9,0,0,0
42,2.549191435,192.168.188.2,192.168.188.128,DNS,94,Standard query response 0x3d56 A www.exploit-db.com A 192.124.249.8,35407,0x4948 (18760),0x00,0xf780,0,0,0
43,2.553215214,192.168.188.2,192.168.188.128,DNS,121,Standard query response 0xd168 A www.facebook.com CNAME star-mini.c10r.facebook.com A 31.13.71.36,48284,0x4949 (18761),0x00,0xf764,0,0,0
44,2.558642789,192.168.188.2,192.168.188.128,DNS,133,Standard query response 0x9984 AAAA www.facebook.com CNAME star-mini.c10r.facebook.com AAAA 2a03:2880:f112:83:face:b00c:0:25de,48284,0x494a (18762),0x00,0xf757,0,0,0
45,2.561066931,192.168.188.128,192.168.188.2,DNS,76,Standard query 0x5c6b A www.linkedin.com,53,0x4119 (16665),0x02,0xffc1,0,0,0
46,2.561080043,192.168.188.128,192.168.188.2,DNS,76,Standard query 0x6b5a AAAA www.linkedin.com,53,0x411a (16666),0x02,0xffc0,0,0,0
47,2.567494456,192.168.188.2,192.168.188.128,DNS,103,Standard query response 0x37b0 A twitter.com A 104.244.42.193 A 104.244.42.1,38950,0x494b (18763),0x00,0xf774,0,0,0
48,2.576329998,192.168.188.2,192.168.188.128,DNS,143,Standard query response 0x19dd AAAA twitter.com SOA ns1.p26.dynect.net,38950,0x494c (18764),0x00,0xf74b,0,0,0
49,2.584714067,192.168.188.2,192.168.188.128,DNS,121,Standard query response 0x5c6b A www.linkedin.com CNAME pop-vmi1-alpha.www.linkedin.com A 108.174.11.17,34348,0x494d (18765),0x00,0xf760,0,0,0
50,2.58682201,192.168.188.2,192.168.188.128,DNS,133,Standard query response 0x6b5a AAAA www.linkedin.com CNAME pop-vmi1-alpha.www.linkedin.com AAAA 2620:119:50e0:105::6cae:b11,34348,0x494e (18766),0x00,0xf753,0,0,0
51,2.627481389,192.168.188.2,192.168.188.128,DNS,135,Standard query response 0xd13e AAAA www.exploit-db.com SOA ns2.no-ip.com,35407,0x494f (18767),0x00,0xf750,0,0,0
52,4.52379013,192.168.188.128,192.168.23.128,TCP,74,45878  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=838651977 TSecr=0 WS=128,80,0x0b9f (2975),0x02,0xd9cb,0x002,0x9334,0
53,4.776015137,192.168.188.128,192.168.23.128,TCP,74,45880  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=838652229 TSecr=0 WS=128,80,0xbd5c (48476),0x02,0x280e,0x002,0x21d1,0
54,5.428417387,192.168.188.128,44.190.6.254,NTP,90,"NTP Version 4, client",123,0x964f (38479),0x02,0xf35c,0,0,0
55,5.536485302,192.168.188.128,192.168.23.128,TCP,74,[TCP Retransmission] 45878  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=838652989 TSecr=0 WS=128,80,0x0ba0 (2976),0x02,0xd9ca,0x002,0x8f40,0
56,5.563775409,44.190.6.254,192.168.188.128,NTP,90,"NTP Version 4, server",44679,0x4950 (18768),0x00,0x406c,0,0,0
57,5.632777599,192.168.188.128,192.168.188.2,DNS,74,Standard query 0xaedb A www.google.com,53,0x4393 (17299),0x02,0xfd49,0,0,0
58,5.632838618,192.168.188.128,192.168.188.2,DNS,74,Standard query 0x1fe6 AAAA www.google.com,53,0x4394 (17300),0x02,0xfd48,0,0,0
59,5.646040651,192.168.188.128,192.168.188.2,DNS,75,Standard query 0x9a8d A www.gstatic.com,53,0x4395 (17301),0x02,0xfd46,0,0,0
60,5.646096397,192.168.188.128,192.168.188.2,DNS,75,Standard query 0x37cc AAAA www.gstatic.com,53,0x4396 (17302),0x02,0xfd45,0,0,0
61,5.657952768,192.168.188.2,192.168.188.128,DNS,90,Standard query response 0xaedb A www.google.com A 172.217.6.196,38090,0x4951 (18769),0x00,0xf77b,0,0,0
62,5.667902836,192.168.188.2,192.168.188.128,DNS,102,Standard query response 0x1fe6 AAAA www.google.com AAAA 2607:f8b0:4006:813::2004,38090,0x4952 (18770),0x00,0xf76e,0,0,0
63,5.668448665,192.168.188.128,172.217.6.196,TCP,74,33046  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3795920559 TSecr=0 WS=128,443,0xef80 (61312),0x02,0x1a75,0x002,0x6311,0
64,5.674439875,192.168.188.2,192.168.188.128,DNS,91,Standard query response 0x9a8d A www.gstatic.com A 172.217.11.3,54548,0x4953 (18771),0x00,0xf778,0,0,0
65,5.681700125,192.168.188.2,192.168.188.128,DNS,103,Standard query response 0x37cc AAAA www.gstatic.com AAAA 2607:f8b0:4006:805::2003,54548,0x4954 (18772),0x00,0xf76b,0,0,0
66,5.696618351,172.217.6.196,192.168.188.128,TCP,60,"443  >  33046 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460",33046,0x4955 (18773),0x00,0xc0b0,0x012,0x7728,0
67,5.696662737,192.168.188.128,172.217.6.196,TCP,54,33046  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0,443,0xef81 (61313),0x02,0x1a88,0x010,0x17c6,0
68,5.697047313,192.168.188.128,172.217.6.196,TLSv1.2,245,Client Hello,443,0xef82 (61314),0x02,0x19c8,0x018,0xb8da,0
69,5.697346705,172.217.6.196,192.168.188.128,TCP,60,443  >  33046 [ACK] Seq=1 Ack=192 Win=64240 Len=0,33046,0x4956 (18774),0x00,0xc0b3,0x010,0x8e26,0
70,5.765733746,172.217.6.196,192.168.188.128,TLSv1.2,1484,Server Hello,33046,0x4957 (18775),0x00,0xbb1c,0x018,0x2c13,0
71,5.765774415,192.168.188.128,172.217.6.196,TCP,54,33046  >  443 [ACK] Seq=192 Ack=1431 Win=31460 Len=0,443,0xef83 (61315),0x02,0x1a86,0x010,0x089d,0
72,5.778255268,172.217.6.196,192.168.188.128,TLSv1.2,940,"Certificate, Server Key Exchange, Server Hello Done",33046,0x4958 (18776),0x00,0xbd3b,0x018,0xbdf1,0
73,5.778299114,192.168.188.128,172.217.6.196,TCP,54,33046  >  443 [ACK] Seq=192 Ack=2317 Win=34320 Len=0,443,0xef84 (61316),0x02,0x1a85,0x010,0xf9fa,0
74,5.792659616,192.168.188.128,172.217.6.196,TLSv1.2,147,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message",443,0xef85 (61317),0x02,0x1a27,0x018,0x93f3,0
75,5.793155661,192.168.188.128,192.168.23.128,TCP,74,[TCP Retransmission] 45880  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=838653246 TSecr=0 WS=128,80,0xbd5d (48477),0x02,0x280d,0x002,0x1dd8,0
76,5.793205282,172.217.6.196,192.168.188.128,TCP,60,443  >  33046 [ACK] Seq=2317 Ack=285 Win=64240 Len=0,33046,0x4959 (18777),0x00,0xc0b0,0x010,0x84bd,0
77,5.81568509,192.168.188.128,192.168.188.2,DNS,73,Standard query 0xa2b3 A ocsp.pki.goog,53,0x43ae (17326),0x02,0xfd2f,0,0,0
78,5.815802238,192.168.188.128,192.168.188.2,DNS,73,Standard query 0x7140 AAAA ocsp.pki.goog,53,0x43af (17327),0x02,0xfd2e,0,0,0
79,5.845360953,172.217.6.196,192.168.188.128,TLSv1.2,338,"New Session Ticket, Change Cipher Spec, Encrypted Handshake Message",33046,0x495a (18778),0x00,0xbf93,0x018,0x0823,0
80,5.852146265,192.168.188.2,192.168.188.128,DNS,120,Standard query response 0xa2b3 A ocsp.pki.goog CNAME www3.l.google.com A 172.217.11.14,55094,0x495b (18779),0x00,0xf753,0,0,0
81,5.860042464,192.168.188.2,192.168.188.128,DNS,132,Standard query response 0x7140 AAAA ocsp.pki.goog CNAME www3.l.google.com AAAA 2607:f8b0:4004:811::200e,55094,0x495c (18780),0x00,0xf746,0,0,0
82,5.861217136,192.168.188.128,172.217.11.14,TCP,74,58650  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2052233530 TSecr=0 WS=128,80,0x9773 (38771),0x02,0x6e38,0x002,0x9c02,0
83,5.889062734,192.168.188.128,172.217.6.196,TCP,54,33046  >  443 [ACK] Seq=285 Ack=2601 Win=37180 Len=0,443,0xef86 (61318),0x02,0x1a83,0x010,0xed55,0
84,5.895432253,172.217.11.14,192.168.188.128,TCP,60,"80  >  58650 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460",58650,0x495d (18781),0x00,0xbc5e,0x012,0xdf6c,0
85,5.895582433,192.168.188.128,172.217.11.14,TCP,54,58650  >  80 [ACK] Seq=1 Ack=1 Win=29200 Len=0,80,0x9774 (38772),0x02,0x6e4b,0x010,0x800a,0
86,5.896008528,192.168.188.128,172.217.11.14,OCSP,481,Request,80,0x9775 (38773),0x02,0x6c9f,0x018,0x8f8b,0
87,5.896525674,172.217.11.14,192.168.188.128,TCP,60,80  >  58650 [ACK] Seq=1 Ack=428 Win=64240 Len=0,58650,0x495e (18782),0x00,0xbc61,0x010,0xf57e,0
88,5.98385813,172.217.11.14,192.168.188.128,OCSP,759,Response,58650,0x495f (18783),0x00,0xb99f,0x018,0xf58f,0
89,5.983896944,192.168.188.128,172.217.11.14,TCP,54,58650  >  80 [ACK] Seq=428 Ack=706 Win=30315 Len=0,80,0x9776 (38774),0x02,0x6e49,0x010,0x7743,0
90,5.989184188,192.168.188.128,172.217.6.196,TLSv1.2,217,Application Data,443,0xef87 (61319),0x02,0x19df,0x018,0x61d6,0
91,5.990146825,172.217.6.196,192.168.188.128,TCP,60,443  >  33046 [ACK] Seq=2601 Ack=448 Win=64240 Len=0,33046,0x4960 (18784),0x00,0xc0a9,0x010,0x82fe,0
92,5.990172519,192.168.188.128,172.217.6.196,TLSv1.2,518,Application Data,443,0xef88 (61320),0x02,0x18b1,0x018,0x21a5,0
93,5.990718474,172.217.6.196,192.168.188.128,TCP,60,443  >  33046 [ACK] Seq=2601 Ack=912 Win=64240 Len=0,33046,0x4961 (18785),0x00,0xc0a8,0x010,0x812e,0
94,6.021503175,172.217.6.196,192.168.188.128,TLSv1.2,123,Application Data,33046,0x4962 (18786),0x00,0xc062,0x018,0x077c,0
95,6.021543328,192.168.188.128,172.217.6.196,TCP,54,33046  >  443 [ACK] Seq=912 Ack=2670 Win=37180 Len=0,443,0xef89 (61321),0x02,0x1a80,0x010,0xea9d,0
96,6.021669873,172.217.6.196,192.168.188.128,TLSv1.2,92,Application Data,33046,0x4963 (18787),0x00,0xc080,0x018,0xb45c,0
97,6.021681317,192.168.188.128,172.217.6.196,TCP,54,33046  >  443 [ACK] Seq=912 Ack=2708 Win=37180 Len=0,443,0xef8a (61322),0x02,0x1a7f,0x010,0xea77,0
98,6.022083735,192.168.188.128,172.217.6.196,TLSv1.2,92,Application Data,443,0xef8b (61323),0x02,0x1a58,0x018,0x6f63,0
99,6.022416516,172.217.6.196,192.168.188.128,TCP,60,443  >  33046 [ACK] Seq=2708 Ack=950 Win=64240 Len=0,33046,0x4964 (18788),0x00,0xc0a5,0x010,0x809d,0
